ts	phase	decision	why	evidence	result
2026-09-16T08:20:00Z	frame	把范围限定在设计文档的 A、B 两个阶段：修掉误记完成，并加上结构分块；C 至 F 阶段（解析器、引用、主题路由、冲突）明确不在范围内	只做 A 阶段只能止住"谎报完成"，止不住截断；A+B 才是"长文档覆盖为真"成立的最小切片	docs/weknora-llm-wiki-integration.md:59-118, :333-342	已定验证断言，C 至 F 阶段挂起
2026-09-16T08:21:00Z	frame	定义完成：30k 字符文件末尾的事实能进入模型；超过请求预算的文件集能分批完成且未处理部分仍然可见；中途失败绝不把来源标记完成，且重试既不漏块也不重复块	三条可证伪的断言，每一条都在真实 CLI 上以子进程验证，而不是对着一个辅助函数	tests/test_lw_ingest_e2e.py	已记录基线
2026-09-16T08:22:00Z	harness	动手之前先跑既有测试，记录为 64 个全绿	后面每一次检查都要能读成"旧值对比新值"	python3 -m unittest discover -s tests	64 通过 0 失败
2026-09-16T08:30:00Z	harness	先写测试并确认它们是红的	失败的测试就是规格；它也证明测试套件不可能碰巧通过	tests/test_lw_chunking.py, tests/test_lw_ingest.py, tests/test_lw_ingest_e2e.py, tests/test_skill_distribution_parity.py	收集到 31 个，4 失败 23 报错，红
2026-09-16T08:33:00Z	design	分块器放在新的 skills/lw/scripts/chunking.py，而不是继续往 wiki.py 里塞	wiki.py 已是 583 行的脚本，且本身在插件里还有一份副本；独立纯模块让偏移逻辑不必依赖一个 wiki 目录就能测	docs/weknora-llm-wiki-integration.md:303-306	模块边界已定
2026-09-16T08:34:00Z	design	把块表示为偏移加上文本再加上一个 verbatim 标记，heading_path 存成元组放在文本之外、绝不插进文本	设计文档提醒过把标题路径插进正文会移动偏移；该标记是让重复的表头和围栏变诚实、而不是变成静默偏移谎言的关键	docs/weknora-llm-wiki-integration.md:84, tests/test_lw_chunking.py:38-46	结构已冻结
2026-09-16T08:35:00Z	design	让 planner 成为"该摄取什么"的唯一真相来源：每个来源一条记录，带 chunks_total 与 chunks_done，state.json 的文件记录由它派生	原缺陷在于 apply_update 不管提交了什么就把全部记录的哈希写回，于是有两处在回答"什么算完成了"；现在只有一个决策点	skills/lw/scripts/wiki.py:334 派生到 tracked_files	结构已冻结
2026-09-16T08:36:00Z	design	把可恢复的工作建模为 .llm-wiki/runs/ 下的磁盘 run manifest，带逐块 done 标记，只在整轮提交后才删除	设计文档要求一份可重放的待办清单；manifest 让重试路径变成重新加载而不是重新实现，文档里的 wiki_ingest_runs/wiki_ingest_results 表是在线等价物	docs/weknora-llm-wiki-integration.md:88-109, :291	结构已冻结
2026-09-16T08:37:00Z	design	没有采用设计文档提出的 wiki_source_revisions / wiki_parses / wiki_chunks 三张 SQLite 表	这是本地 CLI，存储是 state.json 与 Markdown，A、B 两阶段完全不触及 SharedWikiStore；文档把这三张表列给在线的 D 至 F 阶段	plugins/llm-wiki/llm_wiki_mcp/store.py:93-190, docs/weknora-llm-wiki-integration.md:280-297	判断，范围守在 A+B
2026-09-16T08:38:00Z	design	保留 v1 state.json 可读并就地升级，把此前记录的每个文件标记为 unverified 并给出原因	旧哈希可能是按被截断或跳过之后的内容算出来的，沿用它就等于保留正在修的缺陷；重新摄取一次是安全方向，因为重复一次比丢一个事实便宜	tests/test_lw_ingest.py:StateMigrationTests	判断，迁移姿态已定
2026-09-16T08:39:00Z	risk	发现 skills/lw 与 plugins/llm-wiki/skills/lw 是两份靠手改维护的副本，且没有任何东西检查它们是否一致；而运行中的 MCP 执行的是插件那份	只改一份的修复会静默地不生效，或者只对一半调用者生效	plugins/llm-wiki/llm_wiki_mcp/service.py:31-40, tests/test_skill_distribution_parity.py	已加一致性测试，并确立单一写入者规则
2026-09-16T08:40:00Z	delegation	把分块器交给子代理，接口冻结、文件范围限定在那一个新模块；测试、镜像同步、wiki.py 集成和全部提交都由我自己做	机械性工作获得评审分离，共享文件保持单一写入者，两份副本就不会互相抢写	skills/lw/scripts/chunking.py	已派发
2026-09-16T09:22:00Z	unit-1	分块器以 51c61a3 提交，且是 amend 过的：第一次提交把两份副本记成了一行之差	我的提交和子代理的重构抢跑，把一个只存在于其中一份的死字段记了进去；两份副本在 HEAD 上不一致，恰好否掉一致性测试的全部意义	commit 51c61a3，两个 blob 内容一致	20 个门禁测试绿，一致性绿
2026-09-16T09:23:00Z	unit-1	删掉 _Block.fence 这个未使用字段及其死赋值，两份副本都删，而不是保留子代理的版本	该字段被赋值但从未被读取；删掉它是更小也更诚实的产物，同时消除了两份副本当初分叉的原因	skills/lw/scripts/chunking.py，各 507 行	门禁绿，23 个测试
2026-09-16T09:24:00Z	unit-1	对分块门禁做变异验证：去掉末尾 flush、去掉硬上限、去掉表头，各自都能让它变红	一个不可能失败的测试不是门禁；我需要知道它真的在观察它声称的行为	tests/test_lw_chunking.py	M1 34 个失败，M2 37 个，M3 6 个；恢复后绿
2026-09-16T09:25:00Z	unit-1	增加一个带种子的 60 例模糊测试，覆盖随机的标题、围栏、表格、段落文档	手写的样例覆盖不到偏移 bug 藏身的边界形状；这个模糊测试立刻抓出了我自己的一个不精确辅助函数	tests/test_lw_chunking.py:FuzzTests	60 个子测试绿
2026-09-16T09:34:00Z	unit-3	wiki.py 围绕"分块、分批、提交"的流水线重写；旧的 apply_update 与 source_bundle 被删除	缺陷就住在 apply_update 里，它不管提交了什么就给全部记录写哈希；把它留在新路径旁边，等于留下两个对"什么算完成"的答案	commit d01a2fc, git diff main...HEAD --stat	115 个测试绿
2026-09-16T09:35:00Z	review	阅读子代理 diff 时发现：一次重试复用了块完成标记，却丢弃了前面批次产出的页面	子代理自己的测试通过，是因为它验证的是块被复用；没有人验证过存活下来的块所贡献的知识最终进了页面	tests/test_lw_ingest.py:ResumeEvidenceTests，修复前为红	已复现、已修、已做变异验证
2026-09-16T09:36:00Z	review	否决了子代理在 HTTP 请求体顶层加 evidence 字段的做法，改为让测试桩读取提示词	它为了让测试更好抓取，在每次请求上复制了一整份材料负载，这是没有产品理由的真实 API 成本	tests/test_lw_ingest_e2e.py:prompt_payload	传输未变，e2e 绿
2026-09-16T09:36:30Z	review	回退了子代理把 .log 加进可摄取扩展名的改动，并把自己的样例改用 .md	扩大 Wiki 摄取范围是本次请求没有要求的产品变更；应当让测试跟随产品，而不是让产品迁就测试	skills/lw/scripts/wiki.py TEXT_EXTENSIONS	扩展名列表回到原有集合
2026-09-16T09:37:00Z	review	让 plan_ingest、create_run、commit_run 都不带未使用参数，并删掉在剪枝存在之后变得多余的逐块漂移检查	签名里的未使用参数是签名对函数体做出的、函数体并不兑现的承诺	commit d01a2fc；git show d01a2fc:skills/lw/scripts/wiki.py 显示这三个函数都没有 root/state 参数	已无未使用参数（AST 检查干净）
2026-09-16T09:38:00Z	review	跑了注释评审，采纳它三条可执行发现中的两条，其余逐条给出保留理由	它想删掉测试的 docstring 和 material_budget 的单位说明；前者在陈述每个测试的意图，后者定义了一个公开单位，而它关于 manifest 键名和魔法数字的发现是对的	commit e8ece02	采纳 2 条，其余按实质保留
2026-09-16T09:40:00Z	verify	在 HEAD 的干净 worktree 上跑完整测试套件，不含任何未跟踪文件	本地树能通过，可能是因为有些文件从未被提交	git worktree add /tmp/lw-verify HEAD	仅凭已跟踪状态即有 115 个测试通过
2026-09-16T09:41:00Z	review	对本次决策日志与 diff 做交叉模型评审；它通过实际运行代码发现：被删除的来源会把之后每次重试都卡死，以及两个 manifest 时解析结果任意	评审者的脚本复现了这两点，而没有任何已提交的测试做到过	tests/test_lw_ingest.py:FailureAndResumeTests，修复前为红	两点均复现
2026-09-16T09:50:00Z	fix	来源放弃剪枝：字节已变的来源，其未完成的块被丢弃，使本轮收敛，并让该来源在下一轮重新规划	一个不可用的运行不能变成永久的死结；靠重试收敛正是 manifest 存在的目的	tests/test_lw_ingest.py:test_a_source_edited_during_a_run_is_abandoned_and_the_run_still_finishes	绿，已做变异验证
2026-09-16T09:51:00Z	fix	load_run 改取最新的 manifest 而不是 sorted()[0]；v1 升级时写出 state.v1.json，并对损坏记录抛 WikiError	崩溃留下两个 manifest 时不能静默重放较旧的那个；就地重写需要留一份可比对的副本	tests/test_lw_ingest.py:FailureAndResumeTests, StateMigrationTests	绿，已做变异验证
2026-09-16T09:52:00Z	fix	update 现在也打印 status 所打印的被跳过文件行	设计文档要求被跳过的文件必须带原因出现，而用户实际执行的是 update	commit 89b7eb2，已在真实 CLI 上验证	绿
2026-09-16T09:53:00Z	verify	在真实 CLI 上以子进程核对定义完成的三条断言，并补上评审指出的两处 e2e 覆盖缺口	定义完成点名了这三条，所以要在发布产物上验证而不是对着辅助函数；其中 30k 边界与"未完成部分可见"两条此前断言不足	tests/test_lw_ingest_e2e.py, 5 个测试通过	VERIFIED
